"roi_num","spatial_roi_num","x","y","z","MNI_Glasser_HCP_v1.0","Brainnetome_1.0","CA_ML_18_MNI"
150,1,-62,-20,-18,"Focus point:  L_Area_TE1_Middle","Focus point:  A21c_left","Focus point:  Left Middle Temporal Gyrus"
44,2,-62,-11,31,"* Within 2 mm: L_Area_1","Focus point:  A1/2/3ulhf_left","Focus point:  Left Postcentral Gyrus"
157,3,-61,-34,5,"Focus point:  L_Auditory_5_Complex","Focus point:  rpSTS_left","Focus point:  Left Middle Temporal Gyrus"
94,4,-61,-23,31,"Focus point:  L_Area_PFt","Focus point:  A40rd_left","Focus point:  Left SupraMarginal Gyrus"
133,5,-60,-50,-9,"Focus point:  L_Area_TE1_posterior","Focus point:  A20cl_left","Focus point:  Left Middle Temporal Gyrus"
154,6,-60,-37,-2,"Focus point:  L_Area_STSv_posterior","Focus point:  aSTS_left","Focus point:  Left Middle Temporal Gyrus"
95,7,-60,-36,34,"Focus point:  L_Area_PF_Complex","Focus point:  A40rv_left","Focus point:  Left SupraMarginal Gyrus"
42,8,-60,-18,19,"Focus point:  L_Area_OP4/PV","Focus point:  A1/2/3tonIa_left","Focus point:  Left Postcentral Gyrus"
156,9,-60,-15,-2,"* Within 2 mm: L_Auditory_5_Complex","Focus point:  A22r_left","Focus point:  Left Middle Temporal Gyrus"
93,10,-59,-45,27,"Focus point:  L_PeriSylvian_Language_Area","Focus point:  A40c_left","Focus point:  Left SupraMarginal Gyrus"
151,11,-59,-38,-17,"Focus point:  L_Area_TE2_anterior","Focus point:  A20cl_left","Focus point:  Left Inferior Temporal Gyrus"
40,12,-59,-3,12,"Focus point:  L_Area_43","Focus point:  A4tl_left","Focus point:  Left Rolandic Operculum"
128,13,-58,-43,44,"Focus point:  L_Area_PF_Complex","Focus point:  A40c_left","Focus point:  Left Inferior Parietal Lobule"
37,14,-58,-38,17,"Focus point:  L_Auditory_4_Complex","Focus point:  A41/42_left","Focus point:  Left Superior Temporal Gyrus"
43,15,-58,-3,24,"Focus point:  L_Primary_Motor_Cortex","Focus point:  A4hf_left","Focus point:  Left Postcentral Gyrus"
159,16,-57,-49,16,"Focus point:  L_Superior_Temporal_Visual_Area","Focus point:  cpSTS_left","Focus point:  Left Superior Temporal Gyrus"
33,17,-56,-22,8,"Focus point:  L_ParaBelt_Complex","Focus point:  TE1.0_1.2_left","Focus point:  Left Superior Temporal Gyrus"
152,18,-56,-11,-13,"Focus point:  L_Area_STSv_anterior","Focus point:  aSTS_left","Focus point:  Left Middle Temporal Gyrus"
96,19,-55,-55,10,"* Within 1 mm: L_Area_PHT","Focus point:  cpSTS_left","Focus point:  Left Middle Temporal Gyrus"
163,20,-55,-55,29,"Focus point:  L_Area_PFm_Complex","Focus point:  A39rv_left","Focus point:  Left Angular Gyrus"
71,21,-54,-62,-1,"Focus point:  L_Area_PHT","Focus point:  A37vl_left","Focus point:  Left Middle Temporal Gyrus"
92,22,-54,-33,23,"Focus point:  L_Area_PFcm","Focus point:  A40rv_left","Focus point:  Left Superior Temporal Gyrus"
149,23,-54,-2,-27,"Focus point:  L_Area_STSv_anterior","Focus point:  A21r_left","Focus point:  Left Middle Temporal Gyrus"
74,24,-53,-31,43,"Focus point:  L_Area_PFt","Focus point:  A40rd_left","Focus point:  Left Inferior Parietal Lobule"
122,25,-53,-22,-29,"Focus point:  L_Area_TE2_posterior","Focus point:  A20cv_left","Focus point:  Left Inferior Temporal Gyrus"
